1712,1700,1700,1687,1700,1712,1712,1712,1700,1762,1700,1700,1687,1700,1712,1712,1712,1700,1762,1725,1700,1687,1700,1712,1712,1712,1700,1762,1725,1750,1687,1700,1712,1712,1712,1700,1762,1725,1750,1712,1700,1712,1712,1712,1700,1762,1725,1750,1712,1762,1712,1712,1712,1700,1762,1725,1750,1712,1762,1712,1712,1712,1700,1762,1725,1750,1712,1762,1712,1725,1712,1700,1762,1725,1750,1712,1762,1712,1725,1700,1700,1762,1725,1750,1712,1762,1712,1725,1700,1750,1762,1725,1750,1712,1762,1712,1725,1700,1750,1750,[2018-09-19 04:14:13.226]
1662,1712,1700,1700,1750,1725,1700,1725,1750,1725,1712,1700,1700,1750,1725,1700,1725,1750,1725,1712,1700,1700,1750,1725,1700,1725,1750,1725,1712,1712,1700,1750,1725,1700,1725,1750,1725,1712,1712,1775,1750,1725,1700,1725,1750,1725,1712,1712,1775,1725,1725,1700,1725,1750,1725,1712,1712,1775,1725,1712,1700,1725,1750,1725,1712,1712,1775,1725,1712,1800,1725,1750,1725,1712,1712,1775,1725,1712,1800,1712,1750,1725,1712,1712,1775,1725,1712,1800,1712,1712,1725,1712,1712,1775,1725,1712,1800,1712,1712,1750,[2018-09-19 04:14:13.258]
1750,1725,1725,1725,1750,1700,1712,1712,1750,1712,1725,1725,1725,1750,1700,1712,1712,1750,1712,1762,1725,1725,1750,1700,1712,1712,1750,1712,1762,1750,1725,1750,1700,1712,1712,1750,1712,1762,1750,1700,1750,1700,1712,1712,1750,1712,1762,1750,1700,1700,1700,1712,1712,1750,1712,1762,1750,1700,1700,1700,1712,1712,1750,1712,1762,1750,1700,1700,1700,1725,1712,1750,1712,1762,1750,1700,1700,1700,1725,1700,1750,1712,1762,1750,1700,1700,1700,1725,1700,1712,1712,1762,1750,1700,1700,1700,1725,1700,1712,1712,[2018-09-19 04:14:13.258]
1712,1687,1725,1725,1750,1725,1725,1750,1700,1712,1687,1725,1725,1750,1725,1725,1750,1700,1712,1712,1725,1725,1750,1725,1725,1750,1700,1712,1712,1725,1725,1750,1725,1725,1750,1700,1712,1712,1725,1750,1750,1725,1725,1750,1700,1712,1712,1725,1750,1750,1725,1725,1750,1700,1712,1712,1725,1750,1750,1750,1725,1750,1700,1712,1712,1725,1750,1750,1750,1687,1750,1700,1712,1712,1725,1750,1750,1750,1687,1650,1700,1712,1712,1725,1750,1750,1750,1687,1650,1712,1712,1712,1725,1750,1750,1750,1687,1650,1712,1725,[2018-09-19 04:14:13.258]
1725,1750,1700,1725,1700,1712,1700,1700,1725,1750,1750,1700,1725,1700,1712,1700,1700,1725,1750,1725,1700,1725,1700,1712,1700,1700,1725,1750,1725,1750,1725,1700,1712,1700,1700,1725,1750,1725,1750,1712,1700,1712,1700,1700,1725,1750,1725,1750,1712,1750,1712,1700,1700,1725,1750,1725,1750,1712,1750,1712,1700,1700,1725,1750,1725,1750,1712,1750,1712,1775,1700,1725,1750,1725,1750,1712,1750,1712,1775,1725,1725,1750,1725,1750,1712,1750,1712,1775,1725,1725,1750,1725,1750,1712,1750,1712,1775,1725,1725,1712,[2018-09-19 04:14:13.339]
1750,1712,1712,1712,1650,1750,1700,1712,1725,1712,1712,1712,1712,1650,1750,1700,1712,1725,1712,1725,1712,1712,1650,1750,1700,1712,1725,1712,1725,1725,1712,1650,1750,1700,1712,1725,1712,1725,1725,1712,1650,1750,1700,1712,1725,1712,1725,1725,1712,1750,1750,1700,1712,1725,1712,1725,1725,1712,1750,1712,1700,1712,1725,1712,1725,1725,1712,1750,1712,1775,1712,1725,1712,1725,1725,1712,1750,1712,1775,1725,1725,1712,1725,1725,1712,1750,1712,1775,1725,1712,1712,1725,1725,1712,1750,1712,1775,1725,1712,1725,[2018-09-19 04:14:13.437]
1725,1712,1700,1687,1725,1725,1700,1700,1712,1712,1712,1700,1687,1725,1725,1700,1700,1712,1712,1725,1700,1687,1725,1725,1700,1700,1712,1712,1725,1725,1687,1725,1725,1700,1700,1712,1712,1725,1725,1725,1725,1725,1700,1700,1712,1712,1725,1725,1725,1762,1725,1700,1700,1712,1712,1725,1725,1725,1762,1700,1700,1700,1712,1712,1725,1725,1725,1762,1700,1725,1700,1712,1712,1725,1725,1725,1762,1700,1725,1725,1712,1712,1725,1725,1725,1762,1700,1725,1725,1712,1712,1725,1725,1725,1762,1700,1725,1725,1712,1750,[2018-09-19 04:14:13.536]
1700,1687,1687,1687,1712,1700,1712,1712,1687,1725,1687,1687,1687,1712,1700,1712,1712,1687,1725,1750,1687,1687,1712,1700,1712,1712,1687,1725,1750,1700,1687,1712,1700,1712,1712,1687,1725,1750,1700,1700,1712,1700,1712,1712,1687,1725,1750,1700,1700,1712,1700,1712,1712,1687,1725,1750,1700,1700,1712,1712,1712,1712,1687,1725,1750,1700,1700,1712,1712,1700,1712,1687,1725,1750,1700,1700,1712,1712,1700,1712,1687,1725,1750,1700,1700,1712,1712,1700,1712,1712,1725,1750,1700,1700,1712,1712,1700,1712,1712,1725,[2018-09-19 04:14:13.637]
1700,1700,1712,1700,1700,1725,1687,1725,1700,1725,1700,1712,1700,1700,1725,1687,1725,1700,1725,1687,1712,1700,1700,1725,1687,1725,1700,1725,1687,1687,1700,1700,1725,1687,1725,1700,1725,1687,1687,1712,1700,1725,1687,1725,1700,1725,1687,1687,1712,1725,1725,1687,1725,1700,1725,1687,1687,1712,1725,1700,1687,1725,1700,1725,1687,1687,1712,1725,1700,1687,1725,1700,1725,1687,1687,1712,1725,1700,1687,1662,1700,1725,1687,1687,1712,1725,1700,1687,1662,1700,1725,1687,1687,1712,1725,1700,1687,1662,1700,1687,[2018-09-19 04:14:13.737]
1725,1687,1725,1687,1750,1700,1700,1725,1700,1712,1687,1725,1687,1750,1700,1700,1725,1700,1712,1687,1725,1687,1750,1700,1700,1725,1700,1712,1687,1700,1687,1750,1700,1700,1725,1700,1712,1687,1700,1725,1750,1700,1700,1725,1700,1712,1687,1700,1725,1762,1700,1700,1725,1700,1712,1687,1700,1725,1762,1700,1700,1725,1700,1712,1687,1700,1725,1762,1700,1712,1725,1700,1712,1687,1700,1725,1762,1700,1712,1725,1700,1712,1687,1700,1725,1762,1700,1712,1725,1712,1712,1687,1700,1725,1762,1700,1712,1725,1712,1750,[2018-09-19 04:14:13.837]
